职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
网页设计师,4.5-6千/月,广州-番禺区,广州市联动同盟网络科技有限公司,民营公司,50-150人,房地产,07-22,
网页设计师,4.5-6千/月,武汉-江岸区,武汉炫幕网络科技有限公司,民营公司,少于50人,互联网/电子商务,07-22,
网页设计师/美工,0.7-1万/月,上海-杨浦区,上海欧坚网络发展集团股份有限公司,民营公司,1000-5000人,贸易/进出口,07-22,
资深网页设计师,1-1.5万/月,深圳-福田区,深圳前海越秀文化有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),07-22,
网页设计师,1-1.5万/月,无锡,江苏新日电动车股份有限公司,上市公司,1000-5000人,汽车,07-22,
网页设计师,0.6-1万/月,深圳-罗湖区,深圳市佐卡伊电子商务有限公司,民营公司,150-500人,互联网/电子商务,07-22,
网页设计师,6-8千/月,深圳-龙岗区,买购网（www.maigoo.com）,民营公司,50-150人,互联网/电子商务,07-22,
网页设计师,4.5-6千/月,重庆-南岸区,重庆玖琛房地产营销策划有限公司,民营公司,50-150人,房地产,07-22,
网页设计师,4.5-6千/月,南昌-青山湖区,南昌妙正信息技术有限公司,民营公司,少于50人,计算机软件,07-22,
视觉设计师/美工/网页设计,0.6-1万/月,宁波-海曙区,宁波市雪狼户外服饰有限公司,民营公司,50-150人,服装/纺织/皮革,07-22,
网页设计师,0.8-1万/月,深圳-福田区,深圳市易拓广告传媒有限公司,民营公司,50-150人,互联网/电子商务,07-22,
网页设计师,5-6千/月,宁波,浙江国技互联信息技术有限公司,民营公司,1000-5000人,互联网/电子商务,07-22,
网页设计师,0.8-1.3万/月,北京-朝阳区,上海奇技电脑技术有限公司,外资（非欧美）,50-150人,网络游戏,07-22,
网页设计师,5-7千/月,福州-鼓楼区,福州度谷网络科技有限公司,民营公司,少于50人,互联网/电子商务,07-22,
网页程序设计师,15-30万/年,上海-静安区,百岳特生物科技（上海）有限公司,外资（非欧美）,1000-5000人,快速消费品(食品、饮料、化妆品),07-22,
平面设计师（网页）,0.5-1万/月,广州,广东路卡服装集团有限公司,民营公司,500-1000人,服装/纺织/皮革,07-22,
平面设计师、包装设计、网页设计,0.6-1.8万/月,武汉-硚口区,湖北云长信息咨询有限公司,民营公司,50-150人,服装/纺织/皮革,07-22,
亚马逊美工/电商美工/网页设计师,4-8千/月,佛山,广州阿莉斯贸易有限公司,外资（非欧美）,50-150人,贸易/进出口,07-22,
资深网页设计师,5-8千/月,广州-越秀区,广州高勤计算机科技有限公司,民营公司,150-500人,计算机软件,07-22,
网页设计师,1-1.5万/月,杭州-余杭区,浙江引擎力营销策划有限公司,民营公司,150-500人,互联网/电子商务,07-22,
网页设计师,6-8千/月,成都,成都朝发信息工程技术有限公司,民营公司,50-150人,计算机软件,07-22,
网页设计师（双休+地铁口）,4.5-6千/月,广州-天河区,广东锋火信息科技股份有限公司,合资,150-500人,互联网/电子商务,07-22,
网页设计师,0.8-1万/月,深圳-南山区,深圳苏滨数字科技有限公司,民营公司,少于50人,计算机软件,07-22,
高级网页设计师,0.6-1万/月,东莞-南城区,东莞市一箭天网络科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
网页设计师,0.8-1万/月,上海-徐汇区,上海越唐装饰设计工程有限公司,民营公司,少于50人,家居/室内设计/装潢,07-22,
网页设计师,0.8-1.3万/月,深圳-福田区,拓尔思信息技术股份有限公司广州分公司,民营公司,150-500人,计算机软件,07-22,
网页设计师,0.7-1万/月,广州-天河区,广州市锦龙汽车发展有限公司,民营公司,500-1000人,汽车,07-22,
网页设计师,5-6.5千/月,武汉,北京新东方前途出国咨询有限公司武汉分公司,上市公司,10000人以上,教育/培训/院校,07-22,
网页设计师,0.5-1万/月,广州-天河区,广州市锦众汽车贸易有限公司,民营公司,150-500人,批发/零售,07-22,
网页设计师,6-8千/月,郑州-管城回族区,北京物通时空网络科技开发有限公司河南分公司,民营公司,150-500人,互联网/电子商务,07-22,
网页设计师（代发招聘信息）,4-6千/月,江门-蓬江区,硅湖职业技术学院,非营利组织,150-500人,教育/培训/院校,07-22,
网页设计师,4-6千/月,武汉-洪山区,深圳市世联土地房地产评估有限公司武汉分公司,民营公司,50-150人,计算机软件,07-22,
网页设计师,4.5-6千/月,泉州,厦门易尔通网络科技有限公司泉州分公司,民营公司,150-500人,互联网/电子商务,07-22,
资深网页设计师,0.8-1万/月,广州-天河区,广州锦星行奔驰4s店,外资（非欧美）,150-500人,批发/零售,07-22,
网页设计师,6-8千/月,北京-朝阳区,北京中数书画频道科技管理有限公司,民营公司,,计算机软件,07-22,
