职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
软件测试工程师,1-1.5万/月,上海-徐汇区,江苏万邦医药营销有限公司,民营公司,1000-5000人,制药/生物工程,07-22,
物理测试工程师,4.5-6千/月,深圳-宝安区,深圳市精一精密五金制品有限公司,民营公司,50-150人,石油/化工/矿产/地质,07-22,
高级测试工程师,1-1.5万/月,北京-朝阳区,信德广源（北京）信息技术有限公司,民营公司,少于50人,计算机服务(系统、数据服务、维修),07-22,
高速光模块测试工程师,1.2-2.2万/月,上海-闵行区,上海剑桥科技股份有限公司,合资,1000-5000人,通信/电信/网络设备,07-22,
QE 测试工程师,1.5-2万/月,上海,台达电子企业管理（上海）有限公司,外资（非欧美）,500-1000人,电子技术/半导体/集成电路,07-22,
设备组装测试工程师,6-8千/月,武汉,武汉长盛工程检测技术开发有限公司,民营公司,50-150人,电子技术/半导体/集成电路,07-22,
软件测试工程师,1-1.5万/月,上海,常州汉器信息技术有限公司,民营公司,少于50人,计算机软件,07-22,
功能测试工程师,1-1.5万/月,广州-天河区,天阳宏业科技股份有限公司,民营公司,5000-10000人,计算机软件,07-22,
高级测试工程师(J10019),1-1.5万/月,广州-天河区,手盟网络,民营公司,150-500人,网络游戏,07-22,
生产测试工程师,12-18万/年,杭州,杭州加速科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,07-22,
测试工程师,0.5-1万/月,杭州-西湖区,杭州光粒科技有限公司,外资（欧美）,50-150人,计算机硬件,07-22,
系统测试工程师,2.5-3万/月,北京-西城区,上海星翰云信息科技有限公司,民营公司,500-1000人,计算机软件,07-22,
测试工程师（工作地：华润大厦）,1-1.5万/月,深圳-南山区,深圳市微付充科技有限公司,创业公司,少于50人,计算机软件,07-22,
软件测试工程师,1-1.5万/月,深圳-龙岗区,深圳市联赢激光股份有限公司,上市公司,1000-5000人,机械/设备/重工,07-22,
测试工程师（合肥）,0.8-1.5万/月,合肥-蜀山区,阳光新能源开发有限公司,民营公司,1000-5000人,新能源,07-22,
APP测试工程师,1.3-1.8万/月,上海-静安区,大连华钦软件技术有限公司,民营公司,,计算机软件,07-22,
软件测试工程师,1.5-2万/月,深圳-福田区,深圳市箴石医疗设备有限公司,民营公司,,计算机软件,07-22,
自动化测试工程师,1.2-2万/月,上海-浦东新区,上海互教教育科技有限公司,民营公司,1000-5000人,教育/培训/院校,07-22,
软件测试工程师,1-1.5万/月,北京,成都安美勤信息技术股份有限公司,民营公司,150-500人,计算机服务(系统、数据服务、维修),07-22,
渗透测试工程师,0.8-1.3万/月,深圳-南山区,深圳市永达电子信息股份有限公司,民营公司,150-500人,计算机软件,07-22,
高级测试工程师,1.5-2.2万/月,苏州-工业园区,江苏人加信息科技有限公司,合资,50-150人,计算机软件,07-22,
软件测试工程师,1-1.5万/月,深圳-南山区,深圳市魔数智擎人工智能有限公司,民营公司,,计算机软件,07-22,
测试工程师,0.8-1.1万/月,深圳-龙岗区,深圳先进微电子科技有限公司,外资（非欧美）,5000-10000人,电子技术/半导体/集成电路,07-22,
软件测试工程师（朝九晚六）,0.8-1万/月,广州-海珠区,深圳市睿服科技有限公司,民营公司,500-1000人,计算机软件,07-22,
高级软件测试工程师,1.5-2.5万/月,杭州-西湖区,睿珀智能科技（兰溪）有限公司,民营公司,50-150人,计算机软件,07-22,
测试工程师,6-8千/月,湖北省,东风汽车集团有限公司,国企,10000人以上,汽车,07-22,
自动化测试工程师,1.1-1.7万/月,北京,上海艾融软件股份有限公司,民营公司,500-1000人,计算机软件,07-22,
AW_车载高级测试工程师,1.8-2.5万/月,深圳-南山区,珠海全志科技股份有限公司,民营公司,500-1000人,电子技术/半导体/集成电路,07-22,
匹配测试工程师,10-15万/年,无锡-惠山区,江苏伟博动力技术有限公司,民营公司,50-150人,汽车,07-22,
软件测试工程师（性能测试）,1-1.8万/月,成都-金牛区,成都积微物联集团股份有限公司,国企,1000-5000人,交通/运输/物流,07-22,
软件测试工程师,1.3-1.5万/月,北京,德高广告（上海）有限公司,外资（欧美）,500-1000人,广告,07-22,
测试工程师(全链路压测),1-2万/月,杭州-余杭区,杭州大乘智能科技有限公司,民营公司,少于50人,计算机软件,07-22,
可靠性测试工程师,4-6千/月,江门,中德认证检测（广东）有限公司,民营公司,少于50人,检测，认证,07-22,
功能测试工程师,6-8千/月,无锡,昆山双宇新信息科技有限公司,民营公司,少于50人,计算机软件,07-22,
测试工程师testing engineer,0.9-1.1万/月,大连-沙河口区,大连聚盟科技发展有限公司,外资（欧美）,1000-5000人,计算机软件,07-22,
软件测试工程师,0.8-1.5万/月,广州-天河区,北京数字绿土科技有限公司,民营公司,150-500人,计算机软件,07-22,
设备测试工程师,1-1.5万/月,上海,环旭电子股份有限公司,上市公司,1000-5000人,电子技术/半导体/集成电路,07-22,
软件测试工程师,5-8千/月,西安,博彦科技股份有限公司,外资（欧美）,10000人以上,计算机软件,07-22,
测试工程师,5-8千/月,上海-徐汇区,普天轨道交通技术（上海）有限公司,国企,150-500人,电子技术/半导体/集成电路,07-22,
软件测试工程师,1.3-1.8万/月,上海-长宁区,上海巧睿思信息技术有限公司,创业公司,少于50人,计算机软件,07-22,
化学测试工程师,0.8-1万/月,昆山,伊美特（上海）环保科技股份有限公司,民营公司,150-500人,环保,07-22,
测试工程师,1.3-1.8万/月,上海-浦东新区,上海驻云信息科技有限公司,创业公司,150-500人,互联网/电子商务,07-22,
测试工程师（中级）,20-35万/年,深圳-南山区,联易融数字科技集团有限公司,民营公司,500-1000人,金融/投资/证券,07-22,
整车策划与测试工程师,2-3万/月,上海-杨浦区,嬴彻科技（上海）有限公司,民营公司,150-500人,汽车,07-22,
资深测试工程师,1.8-2.5万/月,上海,东方电子支付有限公司,国企,50-150人,互联网/电子商务,07-22,
高级测试工程师,1.1-1.8万/月,昆山,苏州欧菲特电子股份有限公司,上市公司,150-500人,电子技术/半导体/集成电路,07-22,
软件测试工程师,1-1.5万/月,深圳-南山区,深圳云享家网络科技有限公司,民营公司,少于50人,计算机软件,07-22,
软件测试工程师（急招，双休，13薪）,0.8-1万/月,武汉-江夏区,武汉软帝联合科技有限公司,民营公司,150-500人,外包服务,07-22,
软件测试工程师,5-8千/月,珠海,珠海爱墨科技有限公司,民营公司,500-1000人,贸易/进出口,07-22,
化学分析测试工程师,0.8-1万/月,上海,傲锐汽车部件（上海）有限公司,合资,,汽车,07-22,
软件测试工程师,6-8千/月,无锡-无锡新区,华信永益（北京）信息技术有限公司,民营公司,500-1000人,计算机软件,07-22,
测试工程师,1.5-3万/月,天津-滨海新区,北京华钦恒通软件技术有限公司,民营公司,,计算机软件,07-22,
渗透测试工程师,1-2万/月,深圳,北京启明星辰信息安全技术有限公司,上市公司,1000-5000人,计算机软件,07-22,
实验室测试工程师,0.7-1.2万/月,常州,飞荣达科技（江苏）有限公司,上市公司,1000-5000人,电子技术/半导体/集成电路,07-22,
渗透测试工程师,1-1.5万/月,佛山-南海区,广东长实通信科技有限公司,民营公司,5000-10000人,通信/电信/网络设备,07-22,
测试工程师,0.6-1万/月,丹阳,江苏鱼跃医疗设备股份有限公司,上市公司,10000人以上,医疗设备/器械,07-22,
软件测试工程师,1-1.5万/月,宁波-江北区,北京捷科智诚科技有限公司,上市公司,1000-5000人,计算机软件,07-22,
REL可靠性测试工程师,0.9-1.5万/月,苏州-相城区,苏州领裕电子科技有限公司,上市公司,1000-5000人,电子技术/半导体/集成电路,07-22,
软件测试工程师,0.8-1.3万/月,深圳-南山区,华青融天（北京）软件股份有限公司深圳分公司,民营公司,150-500人,计算机软件,07-22,
芯片ATE测试工程师,2.5-5万/月,上海-浦东新区,上海为旌科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,07-22,
测试工程师,0.9-1.3万/月,天津-东丽区,海通安恒科技股份有限公司,民营公司,1000-5000人,专业服务(咨询、人力资源、财会),07-22,
设备测试工程师,1.5-2万/月,上海,爱美达（上海）热能系统有限公司,外资（非欧美）,,建筑/建材/工程,07-22,
测试工程师,1.5-2万/月,上海,安吉租赁有限公司,国企,150-500人,金融/投资/证券,07-22,
高级软件测试工程师,1.5-2.5万/月,上海-浦东新区,上海乐相科技有限公司,民营公司,150-500人,电子技术/半导体/集成电路,07-22,
