职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
高薪诚聘仓储运营数据分析师,0.8-1万/月,广州-花都区,广东云山仓储服务有限公司,民营公司,500-1000人,交通/运输/物流,07-23,
数据分析师,5-7千/月,苏州-工业园区,益而益（集团）有限公司,民营公司,1000-5000人,家具/家电/玩具/礼品,07-23,
数据分析师,7-9千/月,合肥-蜀山区,安徽蓝科信息科技有限公司,民营公司,50-150人,环保,07-23,
大数据挖掘分析师助理/包吃住,4.5-6千/月,深圳-龙华区,深圳天牧云信息咨询有限公司,民营公司,50-150人,互联网/电子商务,07-23,
数据分析师,0.6-1万/月,苏州-高新区,苏州赫拉网络科技有限公司,民营公司,150-500人,互联网/电子商务,07-23,
数据分析师,6-8千/月,上海-静安区,睿锦尚品国际贸易（上海）有限公司,国企,150-500人,奢侈品/收藏品/工艺品/珠宝,07-23,
BI大数据分析师实习生+周末双休,6-8千/月,深圳-南山区,深圳市音悦文化艺术有限公司,民营公司,少于50人,教育/培训/院校,07-23,
数据分析师助理/可实习/不加班,6-8千/月,广州-越秀区,新九（广州）网络科技有限公司,民营公司,150-500人,批发/零售,07-23,
唯品会高级数据分析师（正编）,1.5-2.5万/月,广州-海珠区,广州天生玩家科技有限公司,民营公司,50-150人,计算机软件,07-23,
大数据分析师,6-8千/月,深圳-龙华区,深圳市名扬盛世文化传播有限公司,民营公司,50-150人,计算机软件,07-23,
数据分析师,4.5-8千/月,重庆-九龙坡区,重庆安鑫动科技有限公司,民营公司,,计算机软件,07-23,
高级数据分析师,1-1.5万/月,杭州-余杭区,杭州豪悦护理用品股份有限公司,民营公司,500-1000人,快速消费品(食品、饮料、化妆品),07-23,
数据分析师,0.8-2万/月,北京-大兴区,北京欧美利华科技有限公司,民营公司,少于50人,仪器仪表/工业自动化,07-23,
数据分析师,1.5-2万/月,上海-静安区,上海盛世大联汽车服务股份有限公司,上市公司,150-500人,汽车,07-23,
数据分析师（可远程办公）,0.8-1.2万/月,北京-通州区,极点智汇（北京）信息科技有限公司,民营公司,50-150人,金融/投资/证券,07-23,
高级数据分析师,0.7-1.2万/月,杭州,杭州百川联合供应链科技有限公司,民营公司,150-500人,汽车零配件,07-23,
数据分析师,4-6千/月,湖州-长兴县,杭州绿洁环境科技股份有限公司,民营公司,500-1000人,环保,07-23,
